tiempo (min),3er armonico
0.5864668936,0.009774448226
1.54503517,0.02575058617
2.744389332,0.0457398222
3.915625561,0.06526042602
5.096735882,0.08494559803
6.329881476,0.1054980246
7.488687553,0.1248114592
8.645407164,0.1440901194
9.804804793,0.1634134132
10.96282947,0.1827138244
12.12487242,0.2020812071
13.28252243,0.2213753738
14.4496379,0.2408272984
15.61456256,0.2602427093
16.77375965,0.2795626608
17.93815059,0.2989691765
19.10317771,0.3183862952
20.27402984,0.3379004974
21.43286986,0.3572144977
22.59212228,0.3765353713
23.75348504,0.3958914174
24.91461144,0.415243524
26.07913879,0.4346523132
27.23663164,0.4539438606
28.39758138,0.4732930231
29.55810554,0.4926350923
30.72325651,0.5120542751
31.88072672,0.5313454453
33.03987352,0.5506645586
34.20128469,0.5700214115
35.36117329,0.5893528882
36.52779654,0.608796609
37.68918068,0.6281530113
38.84836205,0.6474727009
40.00799605,0.6667999342
41.16751187,0.6861251978
42.32686486,0.7054477477
43.48290617,0.7247151028
44.64247793,0.7440412989
45.80037499,0.7633395832
46.95947087,0.7826578478
48.11769985,0.8019616642
49.27320681,0.8212201135
50.43219079,0.8405365132
51.59500258,0.8599167097
52.751516,0.8791919333
53.90416578,0.8984027629
55.05744797,0.9176241328
56.2214328,0.9370238801
57.37375192,0.9562291986
58.53607462,0.9756012437
59.70252939,0.9950421565
60.85884039,1.014314006
62.0156983,1.033594972
63.17835795,1.052972633
64.34259362,1.07237656
65.49989724,1.091664954
66.66997865,1.111166311
67.83681438,1.130613573
68.99329825,1.149888304
70.15460381,1.169243397
71.3115183,1.188525305
72.47357823,1.207892971
73.63749957,1.22729166
74.79040521,1.246506753
75.94646663,1.265774444
77.11025093,1.285170849
78.27376743,1.30456279
79.43386976,1.323897829
80.59537272,1.343256212
81.75534933,1.362589155
82.91439114,1.381906519
84.06751303,1.401125217
85.22131637,1.420355273
86.38047134,1.439674522
87.54694183,1.459115697
88.70738866,1.478456478
89.87168279,1.49786138
91.02880725,1.517146787
92.19602519,1.53660042
93.40130997,1.5566885
94.56375337,1.576062556
95.72381359,1.595396893
96.88618659,1.614769776
98.05315622,1.63421927
99.21631187,1.653605198
100.3840283,1.673067139
101.5449316,1.692415526
102.7097123,1.711828538
103.8719086,1.731198477
105.032715,1.75054525
106.1927105,1.769878508
107.361209,1.789353483
108.404441,1.806740683
109.5722216,1.826203693
110.731005,1.84551675
111.9061432,1.865102387
113.068156,1.884469267
114.2346422,1.903910703
115.3931817,1.923219696
116.5605612,1.942676021
117.721736,1.962028934
118.8777748,1.981296247
120.0699046,2.001165077
121.2438025,2.020730042
122.4063245,2.040105409
123.5675452,2.059459087
124.7306575,2.078844291
125.8852592,2.098087653
127.0511564,2.117519273
128.2090201,2.136817002
129.3725014,2.156208357
130.5319342,2.175532237
131.6960341,2.194933902
132.8545963,2.214243271
134.0130811,2.233551352
135.1658925,2.252764874
136.327044,2.2721174
137.4852805,2.291421342
138.649706,2.310828434
139.8163632,2.330272721
140.9855048,2.349758414
142.149853,2.369164217
143.3218449,2.388697415
144.5161517,2.408602528
145.6890884,2.428151473
146.8523402,2.447539003
148.016315,2.466938583
149.1843722,2.486406203
150.3467634,2.50577939
151.5238359,2.525397266
152.689752,2.544829199
153.8422534,2.564037556
155.0079802,2.583466336
156.1783822,2.602973037
157.3448238,2.62241373
158.4997624,2.641662707
159.659035,2.660983916
160.8237673,2.680396121
161.9824017,2.699706695
163.1491098,2.719151831
164.3070874,2.738451456
165.4676976,2.757794961
166.6334006,2.777223343
167.8019299,2.796698831
168.957296,2.815954933
170.1186242,2.835310403
171.281231,2.854687184
172.4474004,2.87412334
173.6193797,2.893656328
174.780833,2.913013883
175.9413955,2.932356591
177.1012772,2.951687953
178.2598004,2.970996673
179.4286861,2.990478102
180.5899854,3.009833089
181.7485551,3.029142585
182.9099116,3.048498526
184.0686629,3.067811049
185.2310498,3.087184163
186.3936415,3.106560692
187.5629987,3.126049979
188.7194047,3.145323411
189.8784634,3.164641057
191.0405812,3.184009687
192.1984494,3.203307489
193.3620136,3.222700227
194.5149042,3.24191507
195.6738555,3.261230925
196.8374455,3.280624092
198.0016453,3.300027422
199.1583524,3.319305873
200.3156648,3.338594413
201.4749405,3.357915675
202.636869,3.37728115
203.8049891,3.396749818
204.9650436,3.416084061
206.1235071,3.435391785
207.2924243,3.454873738
208.4556051,3.474260084
209.612094,3.493534899
210.7735127,3.512891878
211.9340331,3.532233884
213.0932528,3.551554213
214.2492073,3.570820122
215.4053693,3.590089489
216.567616,3.609460266
217.7368311,3.628947185
218.9007927,3.648346545
220.0666999,3.667778332
221.2302076,3.687170127
222.3925341,3.706542235
223.5551472,3.725919121
224.7231321,3.745385535
225.8856566,3.764760944
227.0486312,3.784143854
228.2123545,3.803539242
229.3732854,3.822888091
230.5328679,3.842214465
231.6927647,3.861546078
232.8527645,3.880879409
234.0120829,3.900201382
235.1758314,3.91959719
236.3397829,3.938996382
237.4998972,3.95833162
238.6589296,3.977648827
239.8284943,3.997141571
240.9906573,4.016510955
242.1514581,4.035857634
243.3117886,4.055196477
244.4754616,4.074591027
245.6327495,4.093879159
246.7924627,4.113207712
247.9494137,4.132490228
249.1076043,4.151793405
250.263044,4.171050734
251.426993,4.190449884
252.5904743,4.209841238
253.7574446,4.229290743
254.9183949,4.248639916
256.0796395,4.267993992
257.2421144,4.287368573
258.4043912,4.306739853
259.5655635,4.326092724
260.7307528,4.345512546
261.9011931,4.365019886
263.065525,4.384425416
264.2229531,4.403715885
265.3801687,4.423002811
266.5503519,4.442505866
267.708408,4.461806801
268.8717158,4.481195264
270.0370001,4.500616668
271.2001777,4.520002962
272.3738191,4.539563652
273.5403682,4.559006137
274.7046755,4.578411259
275.8676621,4.597794368
277.0332996,4.617221661
278.1958644,4.636597739
279.3639153,4.656065254
280.5268899,4.675448164
281.6903781,4.694839635
282.8550041,4.714250069
284.0286719,4.733811199
285.2007311,4.753345518
286.3654929,4.772758215
287.5342799,4.792237999
288.6724533,4.811207556
289.8269444,4.830449073
290.987192,4.849786533
292.1453958,4.86908993
293.3063474,4.888439124
294.4675191,4.907791985
295.6367688,4.92727948
296.7935117,4.946558528
297.9577115,4.965961859
299.120561,4.985342684
300.2830107,5.004716845
301.4433431,5.024055719
302.6069703,5.043449504
303.7742347,5.062903912
304.9395699,5.082326165
306.0953547,5.101589245
307.2592836,5.12098806
308.4163923,5.140273206
309.5816288,5.159693813
310.7416142,5.179026903
311.9014481,5.198357469
313.0590491,5.217650818
314.2159076,5.236931794
315.3788389,5.256313981
316.5399766,5.275666276
317.7034019,5.295056698
318.866159,5.314435983
320.0261325,5.333768875
321.1943085,5.353238474
322.3538959,5.372564932
323.5117044,5.391861739
324.6666852,5.411111419
325.8256415,5.430427358
326.9955393,5.449925655
328.1608537,5.469347562
329.3260034,5.488766724
330.4953229,5.508255382
331.6557201,5.527595335
332.8137536,5.546895893
333.9503283,5.565838806
335.1202249,5.585337082
336.2779837,5.604633062
337.4394954,5.623991591
338.6007865,5.643346442
339.7671093,5.662785155
340.9301983,5.682169972
342.0909123,5.701515206
343.2472434,5.720787391
344.4063997,5.740106661
345.573429,5.75955715
346.739308,5.778988466
347.9028446,5.798380743
349.0664202,5.817773669
350.2230801,5.837051334
351.38158,5.856359666
352.5420199,5.875700332
353.7066937,5.895111562
354.867382,5.914456366
356.0338965,5.933898274
357.1945991,5.953243319
358.3552955,5.972588259
359.5166803,5.991944672
360.6816383,6.011360638
361.8453384,6.030755639
363.0125934,6.05020989
364.1805588,6.06967598
365.3402135,6.089003559
366.5057756,6.108429594
367.6656114,6.12776019
368.822761,6.147046017
369.997634,6.166627233
371.1586566,6.18597761
372.326187,6.20543645
373.4862397,6.224770661
374.6439833,6.244066389
375.8034539,6.263390898
376.9613409,6.282689015
378.1248945,6.302081575
379.2861353,6.321435588
380.4415586,6.340692644
381.6010506,6.36001751
382.7654151,6.379423585
383.925195,6.398753249
385.0935514,6.418225856
386.2531099,6.437551832
387.4141163,6.456901938
388.5712527,6.476187544
389.7308848,6.495514746
390.8927706,6.514879509
392.0562556,6.534270927
393.2197357,6.553662261
394.3785179,6.572975298
395.5504179,6.592506965
396.7096087,6.611826812
397.8731686,6.631219477
399.0412968,6.65068828
400.2030946,6.670051577
401.3649961,6.689416602
402.5284919,6.708808198
403.690091,6.728168184
404.8504316,6.747507193
406.0153682,6.766922803
407.1731138,6.786218563
408.3423685,6.805706142
409.5049282,6.825082137
410.6661948,6.84443658
411.8417919,6.864029865
413.0080367,6.883467279
414.1702953,6.902838255
415.3371254,6.922285423
416.5054214,6.941757024
417.6748315,6.961247191
418.8377313,6.980628854
420.0050498,7.000084163
421.1644726,7.019407876
422.3228323,7.038713872
423.4910724,7.05818454
424.6488155,7.077480258
425.8090127,7.096816879
426.9690642,7.116151069
428.1258051,7.135430086
429.2832357,7.154720596
430.442986,7.174049767
431.6031154,7.193385257
432.7595044,7.212658406
433.9157449,7.231929082
435.0837041,7.251395068
436.2402332,7.270670553
437.3986206,7.28997701
438.5679552,7.309465919
439.731554,7.328859234
440.8994195,7.348323658
442.0617994,7.367696656
443.2237669,7.387062782
444.3750286,7.406250477
445.5361047,7.425601746
446.7018636,7.44503106
447.8633093,7.464388489
449.0193783,7.483656305
450.177376,7.502956266
451.3334625,7.522224375
452.4890682,7.54148447
453.6541123,7.560901871
454.8107445,7.580179075
455.9656945,7.599428241
457.1324912,7.618874854
458.3014669,7.638357781
459.4628718,7.657714529
460.6244879,7.677074798
461.7847159,7.696411932
462.9486995,7.715811659
464.1147903,7.735246505
465.2772903,7.754621505
466.4449439,7.774082398
467.6141527,7.793569212
468.7732574,7.812887624
469.9327783,7.832212971
471.0931339,7.851552232
472.2515119,7.870858532
473.4116306,7.890193843
474.5727375,7.909545625
475.7375339,7.928958899
476.9040151,7.948400251
478.0663793,7.967772988
479.2284273,7.987140454
480.3934984,8.006558307
481.5677521,8.026129202
482.730584,8.045509734
483.8898107,8.064830178
485.0502279,8.084170466
486.2242535,8.103737558
487.3889443,8.123149071
488.5523036,8.142538393
489.7185119,8.161975199
490.8795912,8.18132652
492.0392742,8.20065457
493.2022865,8.220038109
494.3604143,8.239340239
495.5236221,8.258727036
496.6812275,8.278020459
497.8414883,8.297358138
498.9985291,8.316642152
500.1541926,8.33590321
501.3077803,8.355129672
502.4614114,8.374356857
503.6276814,8.393794689
504.7992464,8.413320773
505.9567669,8.432612781
507.1187558,8.451979263
508.2867344,8.471445573
509.4472353,8.490787255
510.6095203,8.510158671
511.7645595,8.529409325
512.9220197,8.548700328
514.0813418,8.568022364
515.2383161,8.587305268
516.4028466,8.606714109
517.5636832,8.626061386
518.724118,8.645401967
519.8882456,8.664804093
521.0532815,8.684221358
522.2148857,8.703581428
523.3740488,8.722900814
524.5281017,8.742135029
525.6877929,8.761463215
526.8556339,8.780927231
528.0065693,8.800109489
529.1761202,8.819602003
530.3366361,8.838943936
531.4938153,8.858230255
532.649702,8.877495033
533.8139483,8.896899138
534.9748836,8.91624806
536.1352179,8.935586965
537.3003494,8.955005823
538.4637477,8.974395795
539.6275804,8.993793007
540.7958381,9.013263969
541.9599537,9.032665895
543.109735,9.051828917
544.2623502,9.07103917
545.4250463,9.090417439
546.5908618,9.109847696
547.7513375,9.129188958
548.929629,9.14882715
550.0826981,9.168044968
551.2327899,9.187213165
552.3933241,9.206555402
553.5598028,9.225996713
554.7268516,9.245447527
555.8864718,9.26477453
557.0529699,9.284216166
558.2154932,9.303591553
559.3829418,9.323049031
560.5518301,9.342530501
561.7125101,9.361875169
562.8793767,9.381322945
564.0395281,9.400658801
565.1929907,9.419883178
566.3590066,9.439316777
567.5311833,9.458853055
568.695436,9.478257266
569.8570332,9.49761722
571.0195307,9.516992178
572.1723835,9.536206392
573.3246278,9.555410463
574.4780169,9.574633615
575.6341663,9.593902772
576.7893904,9.613156506
577.962703,9.632711717
579.1198822,9.651998036
580.2807426,9.671345711
581.4482636,9.690804393
582.6060808,9.710101347
583.7688662,9.729481103
584.9243769,9.748739615
586.0872862,9.768121436
587.2401333,9.787335555
588.4002998,9.806671663
