Voltaje(V),Corriente(A)
3.62E-01,5.32E-04
3.64E-01,5.33E-04
3.66E-01,5.32E-04
3.68E-01,5.33E-04
3.70E-01,5.32E-04
3.72E-01,5.33E-04
3.74E-01,5.32E-04
3.76E-01,5.34E-04
3.78E-01,5.33E-04
3.80E-01,5.34E-04
3.82E-01,5.33E-04
3.84E-01,5.34E-04
3.86E-01,5.34E-04
3.88E-01,5.34E-04
3.90E-01,5.34E-04
3.92E-01,5.35E-04
3.94E-01,5.34E-04
3.96E-01,5.35E-04
3.98E-01,5.35E-04
4.00E-01,5.36E-04
4.02E-01,5.35E-04
4.04E-01,5.36E-04
4.06E-01,5.35E-04
4.08E-01,5.36E-04
4.10E-01,5.36E-04
4.12E-01,5.37E-04
4.14E-01,5.36E-04
4.16E-01,5.37E-04
4.18E-01,5.37E-04
4.20E-01,5.38E-04
4.22E-01,5.37E-04
4.24E-01,5.38E-04
4.26E-01,5.37E-04
4.28E-01,5.38E-04
4.30E-01,5.38E-04
4.32E-01,5.39E-04
4.34E-01,5.39E-04
4.36E-01,5.40E-04
4.38E-01,5.39E-04
4.40E-01,5.40E-04
4.42E-01,5.39E-04
4.44E-01,5.40E-04
4.46E-01,5.40E-04
4.48E-01,5.41E-04
4.50E-01,5.41E-04
4.52E-01,5.42E-04
4.54E-01,5.41E-04
4.56E-01,5.42E-04
4.58E-01,5.41E-04
4.60E-01,5.43E-04
4.62E-01,5.42E-04
4.64E-01,5.43E-04
4.66E-01,5.43E-04
4.68E-01,5.44E-04
4.70E-01,5.43E-04
4.73E-01,5.44E-04
4.74E-01,5.44E-04
4.77E-01,5.45E-04
4.78E-01,5.44E-04
4.81E-01,5.46E-04
4.82E-01,5.45E-04
4.85E-01,5.46E-04
4.86E-01,5.46E-04
4.89E-01,5.47E-04
4.90E-01,5.46E-04
4.93E-01,5.47E-04
4.94E-01,5.47E-04
4.97E-01,5.48E-04
4.99E-01,5.47E-04
5.01E-01,5.49E-04
