voltage1,corriente1,voltage2,corriente2,voltage3,corriente3
208.246,-4.702,8.285,-13.443,-191.593,-15.161
209.281,-4.64,9.27,-13.427,-190.709,-15.139
210.244,-4.556,10.288,-13.412,-189.604,-15.134
211.246,-4.472,11.292,-13.398,-188.602,-15.123
212.257,-4.392,12.287,-13.384,-187.61,-15.113
213.259,-4.311,13.281,-13.37,-186.614,-15.1
214.244,-4.223,14.266,-13.355,-185.575,-15.095
215.242,-4.133,15.263,-13.34,-184.625,-15.081
216.241,-4.035,16.279,-13.326,-183.594,-15.074
217.261,-3.946,17.252,-13.308,-182.636,-15.059
218.257,-3.852,18.287,-13.296,-181.574,-15.053
219.246,-3.762,19.283,-13.283,-180.603,-15.041
220.218,-3.656,20.267,-13.269,-179.597,-15.035
221.219,-3.545,21.28,-13.254,-178.649,-15.022
222.234,-3.447,22.296,-13.244,-177.661,-15.012
223.209,-3.335,23.28,-13.229,-176.635,-15.001
224.208,-3.203,24.293,-13.218,-175.591,-14.997
225.256,-3.112,25.272,-13.204,-174.676,-14.979
226.217,-2.987,26.284,-13.194,-173.574,-14.976
227.213,-2.857,27.262,-13.179,-172.59,-14.968
228.229,-2.727,28.276,-13.168,-171.619,-14.957
229.239,-2.599,29.265,-13.153,-170.613,-14.945
230.243,-2.457,30.288,-13.142,-169.56,-14.94
231.266,-2.337,31.283,-13.129,-168.589,-14.928
232.24,-2.192,32.288,-13.118,-167.567,-14.924
233.241,-2.065,33.26,-13.103,-166.633,-14.91
234.214,-1.913,34.293,-13.092,-165.591,-14.906
235.21,-1.766,35.285,-13.081,-164.642,-14.893
236.199,-1.601,36.281,-13.068,-163.608,-14.887
237.218,-1.435,37.283,-13.056,-162.626,-14.875
238.236,-1.292,38.291,-13.046,-161.585,-14.869
239.203,-1.128,39.273,-13.034,-160.598,-14.859
240.187,-0.928,40.265,-13.022,-159.59,-14.857
241.237,-0.781,41.256,-13.009,-158.688,-14.838
242.206,-0.589,42.281,-12.998,-157.594,-14.837
243.218,-0.39,43.274,-12.985,-156.607,-14.828
244.247,-0.229,44.27,-12.973,-155.632,-14.82
245.214,-0.048,45.268,-12.958,-154.641,-14.81
246.194,0.153,46.288,-12.948,-153.622,-14.806
247.192,0.352,47.282,-12.934,-152.677,-14.794
248.187,0.582,48.291,-12.924,-151.66,-14.788
249.217,0.78,49.269,-12.911,-150.681,-14.776
250.212,1.007,50.289,-12.899,-149.615,-14.771
251.224,1.209,51.279,-12.886,-148.619,-14.761
252.207,1.445,52.271,-12.873,-147.605,-14.757
253.222,1.685,53.263,-12.86,-146.641,-14.746
254.238,1.902,54.283,-12.849,-145.615,-14.738
255.223,2.145,55.275,-12.836,-144.604,-14.73
256.234,2.446,56.279,-12.824,-143.577,-14.727
257.322,2.593,57.272,-12.811,-142.648,-14.712
258.236,2.845,58.284,-12.798,-141.578,-14.71
259.22,3.102,59.289,-12.787,-140.603,-14.703
260.216,3.364,60.287,-12.776,-139.638,-14.694
261.215,3.617,61.277,-12.762,-138.65,-14.683
262.206,3.89,62.292,-12.751,-137.598,-14.679
263.209,4.153,63.288,-12.739,-136.621,-14.67
264.205,4.448,64.286,-12.728,-135.59,-14.666
265.228,4.688,65.283,-12.717,-134.643,-14.655
266.19,4.994,66.281,-12.706,-133.604,-14.65
267.207,5.267,67.266,-12.694,-132.616,-14.64
268.203,5.583,68.268,-12.68,-131.6,-14.636
269.229,5.865,69.272,-12.669,-130.626,-14.626
270.232,6.111,70.273,-12.658,-129.603,-14.62
271.191,6.39,71.266,-12.645,-128.614,-14.612
272.166,6.753,72.279,-12.634,-127.621,-14.61
273.218,6.979,73.268,-12.621,-126.714,-14.593
274.166,7.307,74.278,-12.61,-125.641,-14.591
275.175,7.638,75.281,-12.599,-124.636,-14.582
276.202,7.939,76.279,-12.587,-123.638,-14.575
277.206,8.219,77.273,-12.574,-122.64,-14.566
278.189,8.525,78.276,-12.562,-121.605,-14.562
279.194,8.825,79.261,-12.548,-120.637,-14.552
280.193,9.191,80.268,-12.538,-119.61,-14.549
281.239,9.473,81.258,-12.524,-118.648,-14.538
282.236,9.774,82.272,-12.513,-117.607,-14.534
283.238,10.033,83.272,-12.502,-116.619,-14.526
284.203,10.344,84.263,-12.488,-115.62,-14.521
285.196,10.651,85.271,-12.474,-114.656,-14.512
286.201,10.924,86.28,-12.46,-113.666,-14.505
287.181,11.221,87.272,-12.446,-112.658,-14.497
288.174,11.622,88.279,-12.432,-111.633,-14.494
289.257,11.791,89.278,-12.417,-110.695,-14.481
290.183,12.095,90.285,-12.404,-109.627,-14.478
291.182,12.404,91.26,-12.39,-108.645,-14.472
292.198,12.695,92.257,-12.376,-107.671,-14.464
293.207,12.965,93.25,-12.36,-106.676,-14.455
294.211,13.277,94.271,-12.347,-105.64,-14.452
295.246,13.47,95.258,-12.331,-104.672,-14.442
296.205,13.764,96.261,-12.318,-103.654,-14.44
297.221,13.957,97.261,-12.305,-102.708,-14.429
298.18,14.243,98.274,-12.294,-101.687,-14.424
299.195,14.464,99.264,-12.281,-100.723,-14.415
300.181,14.748,100.264,-12.269,-99.697,-14.41
301.22,14.976,101.268,-12.254,-98.699,-14.4
302.237,15.143,102.284,-12.242,-97.659,-14.395
303.214,15.339,103.274,-12.23,-96.664,-14.388
304.203,15.625,104.268,-12.217,-95.647,-14.385
305.286,15.72,105.26,-12.203,-94.72,-14.371
306.233,15.952,106.258,-12.189,-93.636,-14.368
307.263,16.168,107.264,-12.177,-92.637,-14.361
308.306,16.298,108.26,-12.163,-91.651,-14.355
309.283,16.435,109.254,-12.149,-90.657,-14.347
310.234,16.629,110.279,-12.137,-89.633,-14.343
311.229,16.794,111.264,-12.123,-88.666,-14.335
312.202,17.036,112.262,-12.11,-87.668,-14.329
313.239,17.185,113.263,-12.096,-86.686,-14.319
314.207,17.413,114.261,-12.082,-85.645,-14.315
315.23,17.565,115.265,-12.066,-84.652,-14.307
316.195,17.783,116.276,-12.055,-83.643,-14.302
317.206,17.964,117.241,-12.039,-82.669,-14.294
318.211,18.115,118.244,-12.025,-81.654,-14.288
319.195,18.284,119.234,-12.009,-80.656,-14.28
320.198,18.53,120.242,-11.994,-79.635,-14.277
321.301,18.525,121.241,-11.98,-78.691,-14.264
322.188,18.678,122.25,-11.965,-77.637,-14.262
323.171,18.825,123.253,-11.951,-76.662,-14.256
324.173,18.954,124.246,-11.935,-75.687,-14.248
325.181,19.052,125.25,-11.92,-74.696,-14.24
326.163,19.187,126.262,-11.905,-73.662,-14.235
327.19,19.268,127.253,-11.89,-72.677,-14.226
328.176,19.4,128.259,-11.872,-71.648,-14.222
329.211,19.45,129.277,-11.86,-70.681,-14.214
330.18,19.556,130.246,-11.842,-69.657,-14.208
331.195,19.628,131.234,-11.826,-68.661,-14.2
332.195,19.738,132.24,-11.81,-67.642,-14.195
333.241,19.795,133.235,-11.793,-66.663,-14.187
334.248,19.811,134.241,-11.776,-65.638,-14.182
335.194,19.859,135.242,-11.759,-64.652,-14.175
336.158,19.982,136.241,-11.743,-63.649,-14.171
337.229,19.956,137.24,-11.725,-62.708,-14.16
338.15,20.039,138.234,-11.706,-61.672,-14.156
339.162,20.105,139.248,-11.689,-60.678,-14.148
340.188,20.14,140.248,-11.671,-59.681,-14.142
341.189,20.158,141.243,-11.651,-58.683,-14.134
342.155,20.213,142.246,-11.635,-57.661,-14.13
343.167,20.243,143.229,-11.615,-56.693,-14.122
344.16,20.319,144.219,-11.593,-55.671,-14.117
345.218,20.322,145.238,-11.576,-54.699,-14.107
346.203,20.354,146.225,-11.554,-53.672,-14.103
347.202,20.355,147.226,-11.533,-52.682,-14.096
348.166,20.397,148.237,-11.512,-51.681,-14.091
349.177,20.417,149.237,-11.492,-50.709,-14.083
350.167,20.427,150.235,-11.47,-49.709,-14.076
351.15,20.456,151.236,-11.448,-48.704,-14.068
352.155,20.531,152.237,-11.425,-47.685,-14.065
353.264,20.473,153.255,-11.402,-46.723,-14.052
354.181,20.506,154.264,-11.38,-45.67,-14.049
355.182,20.53,155.254,-11.358,-44.676,-14.042
356.205,20.548,156.236,-11.333,-43.691,-14.034
357.228,20.554,157.233,-11.307,-42.687,-14.027
358.234,20.591,158.243,-11.285,-41.662,-14.022
359.291,20.567,159.225,-11.256,-40.668,-14.014
360.249,20.595,160.233,-11.227,-39.663,-14.01
361.276,20.565,161.256,-11.204,-38.696,-14.001
362.204,20.59,162.236,-11.178,-37.671,-13.995
363.21,20.586,163.229,-11.148,-36.701,-13.988
364.184,20.611,164.226,-11.119,-35.696,-13.981
365.218,20.615,165.239,-11.091,-34.696,-13.972
366.229,20.599,166.242,-11.06,-33.676,-13.968
367.188,20.601,167.251,-11.033,-32.687,-13.96
368.16,20.649,168.229,-11,-31.679,-13.956
369.258,20.606,169.229,-10.971,-30.726,-13.944
370.173,20.634,170.211,-10.936,-29.677,-13.94
371.205,20.645,171.221,-10.904,-28.677,-13.933
372.254,20.627,172.218,-10.868,-27.688,-13.926
373.226,20.615,173.223,-10.831,-26.689,-13.919
374.178,20.625,174.243,-10.801,-25.677,-13.914
375.179,20.619,175.222,-10.761,-24.709,-13.906
376.154,20.644,176.228,-10.719,-23.713,-13.9
377.218,20.624,177.253,-10.687,-22.73,-13.891
378.183,20.638,178.232,-10.645,-21.7,-13.885
379.216,20.623,179.242,-10.601,-20.709,-13.877
380.188,20.631,180.266,-10.566,-19.697,-13.871
381.211,20.628,181.248,-10.527,-18.715,-13.863
382.221,20.623,182.222,-10.482,-17.697,-13.857
383.218,20.628,183.222,-10.439,-16.704,-13.849
384.23,20.665,184.214,-10.39,-15.69,-13.844
385.372,20.603,185.229,-10.344,-14.727,-13.834
386.235,20.611,186.242,-10.294,-13.688,-13.83
387.209,20.615,187.248,-10.249,-12.7,-13.821
388.217,20.611,188.232,-10.197,-11.711,-13.815
