Voltaje(V),50 Hz 100mV,50 Hz 150 mv,100 Hz 100 mV,100 Hz 150 mV,100 Hz 200 mV
4.70330E-01,3.12834E-04,4.95865E-04,3.57598E-04,5.43061E-04,3.22905E-04
4.72326E-01,3.13067E-04,4.96298E-04,3.56900E-04,5.44212E-04,3.23097E-04
4.74335E-01,3.13140E-04,4.96700E-04,3.57974E-04,5.43651E-04,3.23541E-04
4.76346E-01,3.13302E-04,4.97213E-04,3.57316E-04,5.44841E-04,3.23530E-04
4.78333E-01,3.13616E-04,4.97775E-04,3.58403E-04,5.44271E-04,3.23313E-04
4.80337E-01,3.13831E-04,4.98251E-04,3.57735E-04,5.45537E-04,3.23491E-04
4.82341E-01,3.13954E-04,4.98627E-04,3.58847E-04,5.44936E-04,3.23827E-04
4.84336E-01,3.14100E-04,4.99122E-04,3.58209E-04,5.46140E-04,3.23812E-04
4.86344E-01,3.14384E-04,4.99703E-04,3.59293E-04,5.45545E-04,3.23546E-04
4.88353E-01,3.14602E-04,5.00192E-04,3.58625E-04,5.46753E-04,3.23707E-04
4.90364E-01,3.14762E-04,5.00559E-04,3.59685E-04,5.46184E-04,3.24117E-04
4.92346E-01,3.14947E-04,5.01015E-04,3.59015E-04,5.47448E-04,3.24152E-04
4.94345E-01,3.15170E-04,5.01510E-04,3.60113E-04,5.46846E-04,3.23959E-04
4.96350E-01,3.15326E-04,5.02049E-04,3.59468E-04,5.47998E-04,3.24184E-04
4.98358E-01,3.15487E-04,5.02447E-04,3.60611E-04,5.47402E-04,3.24647E-04
5.00339E-01,3.15718E-04,5.02853E-04,3.59962E-04,5.48555E-04,3.24758E-04
