Voltaje(V),50 Hz 100mV,50 Hz 150 mv,100 Hz 100 mV,100 Hz 150 mV,100 Hz 200 mV
2.81595E-02,2.84761E-04,4.64186E-04,3.47228E-04,5.30196E-04,3.21430E-04
3.01536E-02,2.84573E-04,4.64018E-04,3.47735E-04,5.29390E-04,3.21146E-04
3.21635E-02,2.84711E-04,4.63876E-04,3.47373E-04,5.30245E-04,3.21223E-04
3.41700E-02,2.84903E-04,4.63765E-04,3.47825E-04,5.29703E-04,3.21544E-04
3.61574E-02,2.84831E-04,4.63582E-04,3.47409E-04,5.30761E-04,3.21535E-04
3.81615E-02,2.84605E-04,4.63458E-04,3.47889E-04,5.30439E-04,3.21322E-04
4.01588E-02,2.84627E-04,4.63318E-04,3.47519E-04,5.31540E-04,3.21521E-04
4.21708E-02,2.84895E-04,4.63277E-04,3.48079E-04,5.31063E-04,3.21922E-04
4.41569E-02,2.84967E-04,4.63225E-04,3.47766E-04,5.31985E-04,3.21898E-04
4.61543E-02,2.84743E-04,4.63040E-04,3.48433E-04,5.31340E-04,3.21669E-04
4.81525E-02,2.84687E-04,4.62926E-04,3.48111E-04,5.32269E-04,3.21778E-04
5.01453E-02,2.84943E-04,4.62975E-04,3.48750E-04,5.31867E-04,3.22082E-04
5.21602E-02,2.85092E-04,4.62968E-04,3.48407E-04,5.33083E-04,3.21969E-04
5.41751E-02,2.84953E-04,4.62809E-04,3.48997E-04,5.32870E-04,3.21613E-04
5.61875E-02,2.84889E-04,4.62711E-04,3.48659E-04,5.34239E-04,3.21672E-04
5.81691E-02,2.85074E-04,4.62844E-04,3.49318E-04,5.34061E-04,3.21908E-04
6.01631E-02,2.85303E-04,4.62859E-04,3.49057E-04,5.35286E-04,3.21733E-04
6.21634E-02,2.85250E-04,4.62762E-04,3.49754E-04,5.34914E-04,3.21369E-04
6.41662E-02,2.85161E-04,4.62705E-04,3.49449E-04,5.36037E-04,3.21466E-04
6.61861E-02,2.85312E-04,4.62777E-04,3.50120E-04,5.35686E-04,3.21771E-04
6.81605E-02,2.85528E-04,4.62845E-04,3.49737E-04,5.36948E-04,3.21741E-04
7.01755E-02,2.85642E-04,4.62796E-04,3.50298E-04,5.36800E-04,3.21563E-04
7.21666E-02,2.85637E-04,4.62742E-04,3.49825E-04,5.38227E-04,3.21806E-04
7.41660E-02,2.85750E-04,4.62766E-04,3.50420E-04,5.38139E-04,3.22248E-04
7.61730E-02,2.85926E-04,4.62871E-04,3.50003E-04,5.39506E-04,3.22309E-04
7.81687E-02,2.86078E-04,4.62883E-04,3.50621E-04,5.39210E-04,3.22174E-04
8.01765E-02,2.86219E-04,4.62758E-04,3.50181E-04,5.40347E-04,3.22412E-04
8.21793E-02,2.86344E-04,4.62733E-04,3.50778E-04,5.39925E-04,3.22855E-04
8.41725E-02,2.86448E-04,4.62855E-04,3.50263E-04,5.40993E-04,3.22845E-04
8.61753E-02,2.86638E-04,4.62864E-04,3.50733E-04,5.40595E-04,3.22623E-04
8.81702E-02,2.86931E-04,4.62724E-04,3.50169E-04,5.41795E-04,3.22785E-04
9.01693E-02,2.87119E-04,4.62626E-04,3.50696E-04,5.41472E-04,3.23142E-04
9.21854E-02,2.87140E-04,4.62700E-04,3.50188E-04,5.42640E-04,3.23053E-04
9.41590E-02,2.87314E-04,4.62697E-04,3.50749E-04,5.42173E-04,3.22800E-04
9.61573E-02,2.87757E-04,4.62538E-04,3.50295E-04,5.43170E-04,3.23001E-04
9.81596E-02,2.88057E-04,4.62377E-04,3.50923E-04,5.42531E-04,3.23422E-04
1.00160E-01,2.88031E-04,4.62342E-04,3.50390E-04,5.43390E-04,3.23412E-04
1.02165E-01,2.88192E-04,4.62353E-04,3.50943E-04,5.42711E-04,3.23315E-04
1.04152E-01,2.88690E-04,4.62189E-04,3.50365E-04,5.43591E-04,3.23648E-04
1.06172E-01,2.89106E-04,4.61957E-04,3.50889E-04,5.43012E-04,3.24189E-04
1.08167E-01,2.89151E-04,4.61866E-04,3.50338E-04,5.44066E-04,3.24339E-04
1.10156E-01,2.89224E-04,4.61870E-04,3.50937E-04,5.43507E-04,3.24324E-04
1.12142E-01,2.89758E-04,4.61748E-04,3.50421E-04,5.44516E-04,3.24669E-04
1.14162E-01,2.90326E-04,4.61481E-04,3.51046E-04,5.43851E-04,3.25156E-04
1.16156E-01,2.90495E-04,4.61343E-04,3.50492E-04,5.44736E-04,3.25171E-04
1.18173E-01,2.90485E-04,4.61386E-04,3.51058E-04,5.43979E-04,3.24912E-04
1.20160E-01,2.90973E-04,4.61367E-04,3.50465E-04,5.44838E-04,3.25039E-04
1.22158E-01,2.91703E-04,4.61142E-04,3.50992E-04,5.44219E-04,3.25255E-04
1.24159E-01,2.91985E-04,4.61012E-04,3.50327E-04,5.45272E-04,3.25013E-04
1.26148E-01,2.92003E-04,4.61129E-04,3.50874E-04,5.44775E-04,3.24502E-04
1.28163E-01,2.92453E-04,4.61185E-04,3.50267E-04,5.45953E-04,3.24386E-04
1.30152E-01,2.93214E-04,4.61077E-04,3.50837E-04,5.45547E-04,3.24434E-04
1.32156E-01,2.93706E-04,4.61054E-04,3.50224E-04,5.46679E-04,3.24081E-04
1.34161E-01,2.93807E-04,4.61190E-04,3.50747E-04,5.46134E-04,3.23533E-04
1.36149E-01,2.94106E-04,4.61396E-04,3.50048E-04,5.47128E-04,3.23397E-04
1.38151E-01,2.94881E-04,4.61468E-04,3.50511E-04,5.46450E-04,3.23524E-04
1.40146E-01,2.95550E-04,4.61491E-04,3.49757E-04,5.47434E-04,3.23272E-04
1.42153E-01,2.95812E-04,4.61669E-04,3.50197E-04,5.46780E-04,3.22815E-04
1.44153E-01,2.96075E-04,4.62037E-04,3.49429E-04,5.47762E-04,3.22769E-04
1.46156E-01,2.96771E-04,4.62282E-04,3.49920E-04,5.47103E-04,3.22924E-04
1.48152E-01,2.97592E-04,4.62352E-04,3.49225E-04,5.47942E-04,3.22678E-04
1.50141E-01,2.98013E-04,4.62593E-04,3.49677E-04,5.46944E-04,3.22212E-04
1.52147E-01,2.98285E-04,4.62982E-04,3.48923E-04,5.47436E-04,3.22079E-04
1.54151E-01,2.98899E-04,4.63310E-04,3.49366E-04,5.46082E-04,3.22160E-04
