Voltaje(V),Corriente(A)
2.90282E-01,3.08105E-04
2.92288E-01,3.07742E-04
2.94305E-01,3.07504E-04
2.96284E-01,3.07255E-04
2.98285E-01,3.06907E-04
3.00278E-01,3.06582E-04
3.02262E-01,3.06388E-04
3.04273E-01,3.06167E-04
3.06277E-01,3.05878E-04
3.08286E-01,3.05625E-04
3.10287E-01,3.05445E-04
3.12276E-01,3.05291E-04
3.14268E-01,3.05083E-04
3.16272E-01,3.04853E-04
3.18272E-01,3.04720E-04
3.20284E-01,3.04611E-04
3.22278E-01,3.04450E-04
3.24275E-01,3.04330E-04
3.26279E-01,3.04206E-04
3.28266E-01,3.04123E-04
3.30269E-01,3.04030E-04
3.32277E-01,3.03991E-04
3.34280E-01,3.03926E-04
3.36288E-01,3.03813E-04
3.38283E-01,3.03780E-04
3.40279E-01,3.03850E-04
3.42287E-01,3.03860E-04
3.44284E-01,3.03729E-04
3.46287E-01,3.03669E-04
3.48288E-01,3.03795E-04
3.50289E-01,3.03898E-04
3.52292E-01,3.03818E-04
3.54287E-01,3.03744E-04
3.56273E-01,3.03889E-04
3.58275E-01,3.04067E-04
3.60281E-01,3.04054E-04
3.62299E-01,3.03974E-04
3.64278E-01,3.04066E-04
3.66272E-01,3.04298E-04
3.68277E-01,3.04409E-04
3.70296E-01,3.04353E-04
3.72286E-01,3.04368E-04
3.74284E-01,3.04608E-04
3.76274E-01,3.04780E-04
3.78268E-01,3.04779E-04
3.80272E-01,3.04761E-04
3.82282E-01,3.05009E-04
3.84287E-01,3.05264E-04
3.86275E-01,3.05317E-04
3.88287E-01,3.05307E-04
3.90280E-01,3.05485E-04
3.92277E-01,3.05784E-04
3.94286E-01,3.05958E-04
3.96292E-01,3.05954E-04
3.98279E-01,3.06012E-04
4.00273E-01,3.06287E-04
4.02279E-01,3.06562E-04
4.04286E-01,3.06639E-04
4.06276E-01,3.06640E-04
4.08275E-01,3.06901E-04
4.10292E-01,3.07230E-04
4.12295E-01,3.07324E-04
4.14306E-01,3.07328E-04
4.16299E-01,3.07512E-04
4.18299E-01,3.07840E-04
4.20291E-01,3.08072E-04
4.22299E-01,3.08088E-04
4.24288E-01,3.08164E-04
4.26310E-01,3.08501E-04
4.28306E-01,3.08825E-04
4.30302E-01,3.08883E-04
4.32306E-01,3.08907E-04
4.34306E-01,3.09172E-04
4.36313E-01,3.09542E-04
4.38313E-01,3.09714E-04
4.40311E-01,3.09708E-04
4.42318E-01,3.09890E-04
4.44310E-01,3.10242E-04
4.46308E-01,3.10503E-04
4.48317E-01,3.10564E-04
4.50306E-01,3.10670E-04
4.52326E-01,3.10982E-04
4.54324E-01,3.11298E-04
4.56320E-01,3.11424E-04
4.58319E-01,3.11447E-04
4.60322E-01,3.11710E-04
4.62316E-01,3.12079E-04
4.64337E-01,3.12263E-04
4.66323E-01,3.12300E-04
4.68327E-01,3.12494E-04
4.70330E-01,3.12834E-04
4.72326E-01,3.13067E-04
4.74335E-01,3.13140E-04
4.76346E-01,3.13302E-04
4.78333E-01,3.13616E-04
4.80337E-01,3.13831E-04
4.82341E-01,3.13954E-04
4.84336E-01,3.14100E-04
4.86344E-01,3.14384E-04
4.88353E-01,3.14602E-04
4.90364E-01,3.14762E-04
4.92346E-01,3.14947E-04
4.94345E-01,3.15170E-04
4.96350E-01,3.15326E-04
4.98358E-01,3.15487E-04
5.00339E-01,3.15718E-04
