tiempo (min),3er armonico
0.009774448226,3.55E-11
0.02575058617,0.2514540212
0.0457398222,0.05417510126
0.06526042602,0.2248770607
0.08494559803,0.1847534919
0.1054980246,0.2272648588
0.1248114592,0.2408865324
0.1440901194,0.3306034649
0.1634134132,0.3385165638
0.1827138244,0.1054219231
0.2020812071,0.06436791337
0.2213753738,0.2411655014
0.2408272984,0.1476344063
0.2602427093,0.1804572127
0.2795626608,0.09069268533
0.2989691765,0.2346887632
0.3183862952,0.03971964869
0.3379004974,0.1309583448
0.3572144977,0.1001782331
0.3765353713,0.08200541204
0.3958914174,0.1743850019
0.415243524,0.06238612288
0.4346523132,0.05071949714
0.4539438606,0.05967825903
0.4732930231,0.07661767245
0.4926350923,0.2237627264
0.5120542751,0.03583372264
0.5313454453,0.05150954677
0.5506645586,0.1170911932
0.5700214115,0.1390935462
0.5893528882,0.009725176455
0.608796609,0.03017633598
0.6281530113,0.07264794227
0.6474727009,0.1821594381
0.6667999342,-0.1414394596
0.6861251978,0.04641539793
0.7054477477,0.03781650716
0.7247151028,0.04670322007
0.7440412989,-0.05303324507
0.7633395832,0.05683344047
0.7826578478,0.03150284356
0.8019616642,0.139958535
0.8212201135,0.08800442458
0.8405365132,-0.008205395777
0.8599167097,-0.07638613131
0.8791919333,-0.02183523336
0.8984027629,-0.08709290806
0.9176241328,0.03668335705
0.9370238801,0.03675833286
0.9562291986,0.01093728161
0.9756012437,-0.1423416125
0.9950421565,0.03881926466
1.014314006,-0.1658790217
1.033594972,-0.08460424092
1.052972633,-0.1447382463
1.07237656,-0.1917916759
1.091664954,-0.01715974692
1.111166311,-0.1939996301
1.130613573,-0.03934649188
1.149888304,-0.03507127796
1.169243397,-0.3285087005
1.188525305,-0.1122143256
1.207892971,-0.04034030123
1.22729166,-0.1742848673
1.246506753,-0.1060040549
1.265774444,-0.1553654614
1.285170849,-0.06109192157
1.30456279,-0.01488446627
1.323897829,-0.07732630828
1.343256212,-0.1433000688
1.362589155,-0.1017129048
1.381906519,0.009052443664
1.401125217,-0.1370335177
1.420355273,-0.08756330047
1.439674522,-0.1820428762
1.459115697,-0.01353735784
1.478456478,-0.07734169621
1.49786138,-0.1563234701
1.517146787,0.001050272992
1.53660042,-0.1199073183
1.5566885,-0.1526868033
1.576062556,-0.2189802453
1.595396893,-0.2253014681
1.614769776,-0.2995574598
1.63421927,-0.07094831637
1.653605198,-0.1367051458
1.673067139,-0.1829374972
1.692415526,-0.07601212831
1.711828538,-0.07204122589
1.731198477,-0.08224220508
1.75054525,-0.1168039596
1.769878508,-0.2173649078
1.789353483,-0.338702832
1.806740683,-0.2211469877
1.826203693,-0.1623259342
1.84551675,-0.195851606
1.865102387,-0.223708162
1.884469267,-0.3074445681
1.903910703,-0.2502254701
1.923219696,-0.2130535878
1.942676021,-0.2635333066
1.962028934,-0.3616068549
1.981296247,-0.2277290194
