voltage1,corriente1,voltage2,corriente2,voltage3,corriente3
-95.584,-6.093,-295.397,-8.82,-495.226,-9.123
-94.649,-5.99,-294.492,-8.807,-494.406,-9.098
-93.572,-5.949,-293.438,-8.805,-493.193,-9.103
-92.569,-5.895,-292.497,-8.795,-492.245,-9.098
-91.581,-5.835,-291.441,-8.792,-491.329,-9.088
-90.593,-5.761,-290.466,-8.782,-490.321,-9.077
-89.563,-5.723,-289.413,-8.778,-489.215,-9.078
-88.607,-5.649,-288.413,-8.771,-488.289,-9.068
-87.603,-5.596,-287.402,-8.773,-487.248,-9.071
-86.629,-5.505,-286.546,-8.754,-486.405,-9.056
-85.578,-5.457,-285.401,-8.755,-485.347,-9.056
-84.586,-5.388,-284.413,-8.75,-484.418,-9.041
-83.579,-5.337,-283.449,-8.743,-483.327,-9.041
-82.603,-5.26,-282.467,-8.736,-482.35,-9.031
-81.591,-5.196,-281.438,-8.735,-481.283,-9.027
-80.587,-5.125,-280.518,-8.724,-480.259,-9.022
-79.574,-5.089,-279.491,-8.721,-479.24,-9.028
-78.637,-4.978,-278.529,-8.709,-478.457,-9.002
-77.574,-4.935,-277.424,-8.708,-477.224,-9.007
-76.602,-4.872,-276.444,-8.701,-476.232,-9.002
-75.628,-4.798,-275.415,-8.698,-475.274,-8.997
-74.641,-4.703,-274.461,-8.69,-474.292,-8.989
-73.603,-4.653,-273.442,-8.684,-473.255,-8.99
-72.617,-4.564,-272.413,-8.676,-472.363,-8.979
-71.586,-4.515,-271.374,-8.68,-471.327,-8.978
-70.625,-4.422,-270.498,-8.664,-470.394,-8.963
-69.597,-4.359,-269.39,-8.665,-469.259,-8.966
-68.607,-4.277,-268.433,-8.66,-468.293,-8.959
-67.589,-4.215,-267.495,-8.653,-467.276,-8.959
-66.601,-4.126,-266.504,-8.642,-466.364,-8.95
-65.583,-4.06,-265.426,-8.642,-465.35,-8.944
-64.591,-3.981,-264.458,-8.633,-464.322,-8.939
-63.593,-3.939,-263.421,-8.633,-463.28,-8.946
-62.653,-3.814,-262.496,-8.621,-462.487,-8.924
-61.608,-3.752,-261.44,-8.62,-461.326,-8.929
-60.612,-3.678,-260.481,-8.611,-460.407,-8.926
-59.623,-3.595,-259.446,-8.609,-459.519,-8.916
-58.621,-3.502,-258.489,-8.6,-458.506,-8.905
-57.597,-3.449,-257.469,-8.597,-457.366,-8.907
-56.634,-3.351,-256.495,-8.59,-456.396,-8.897
-55.619,-3.288,-255.5,-8.593,-455.321,-8.902
-54.644,-3.177,-254.658,-8.572,-454.427,-8.888
-53.609,-3.116,-253.511,-8.573,-453.335,-8.889
-52.622,-3.026,-252.507,-8.568,-452.366,-8.879
-51.617,-2.96,-251.507,-8.561,-451.296,-8.88
-50.645,-2.868,-250.512,-8.554,-450.34,-8.872
-49.655,-2.778,-249.454,-8.553,-449.301,-8.869
-48.647,-2.684,-248.497,-8.542,-448.312,-8.864
-47.625,-2.63,-247.456,-8.541,-447.311,-8.87
-46.666,-2.499,-246.502,-8.529,-446.545,-8.847
-45.613,-2.441,-245.428,-8.528,-445.335,-8.851
-44.628,-2.356,-244.452,-8.52,-444.32,-8.847
-43.637,-2.264,-243.439,-8.518,-443.35,-8.843
-42.632,-2.158,-242.507,-8.511,-442.363,-8.835
-41.603,-2.091,-241.521,-8.502,-441.301,-8.838
-40.614,-1.988,-240.491,-8.495,-440.39,-8.828
-39.602,-1.926,-239.441,-8.498,-439.338,-8.831
-38.636,-1.813,-238.541,-8.48,-438.432,-8.817
-37.613,-1.746,-237.43,-8.481,-437.322,-8.821
-36.641,-1.642,-236.458,-8.476,-436.386,-8.814
-35.632,-1.557,-235.5,-8.468,-435.385,-8.816
-34.641,-1.455,-234.498,-8.458,-434.493,-8.808
-33.622,-1.373,-233.44,-8.458,-433.511,-8.799
-32.624,-1.28,-232.489,-8.447,-432.452,-8.795
-31.622,-1.218,-231.462,-8.448,-431.374,-8.802
-30.67,-1.078,-230.546,-8.434,-430.53,-8.782
-29.615,-1.01,-229.516,-8.433,-429.344,-8.789
-28.631,-0.927,-228.567,-8.421,-428.386,-8.786
-27.638,-0.829,-227.527,-8.416,-427.458,-8.779
-26.64,-0.724,-226.536,-8.407,-426.439,-8.772
-25.627,-0.656,-225.489,-8.403,-425.35,-8.775
-24.655,-0.561,-224.489,-8.395,-424.403,-8.767
-23.662,-0.469,-223.479,-8.398,-423.359,-8.771
-22.674,-0.354,-222.606,-8.375,-422.495,-8.759
-21.646,-0.27,-221.469,-8.376,-421.441,-8.762
-20.644,-0.173,-220.482,-8.37,-420.521,-8.752
-19.64,-0.097,-219.509,-8.363,-419.45,-8.752
-18.659,0.013,-218.52,-8.354,-418.485,-8.746
-17.642,0.097,-217.497,-8.354,-417.442,-8.744
-16.643,0.199,-216.562,-8.34,-416.438,-8.74
-15.631,0.264,-215.547,-8.337,-415.431,-8.747
-14.669,0.395,-214.587,-8.322,-414.649,-8.726
-13.633,0.465,-213.518,-8.32,-413.45,-8.732
-12.646,0.558,-212.543,-8.309,-412.475,-8.729
-11.652,0.639,-211.527,-8.306,-411.538,-8.725
-10.675,0.765,-210.572,-8.294,-410.575,-8.719
-9.644,0.833,-209.557,-8.286,-409.548,-8.721
-8.668,0.94,-208.558,-8.276,-408.661,-8.711
-7.653,1.016,-207.535,-8.279,-407.614,-8.712
-6.672,1.129,-206.648,-8.256,-406.657,-8.7
-5.652,1.205,-205.555,-8.256,-405.514,-8.703
-4.66,1.303,-204.603,-8.25,-404.522,-8.696
-3.656,1.382,-203.662,-8.238,-403.477,-8.697
-2.672,1.491,-202.666,-8.222,-402.535,-8.69
-1.654,1.571,-201.589,-8.218,-401.502,-8.686
-0.661,1.668,-200.602,-8.204,-400.456,-8.681
0.348,1.73,-199.555,-8.205,-399.399,-8.688
1.3,1.851,-198.619,-8.186,-398.56,-8.671
2.326,1.931,-197.555,-8.181,-397.401,-8.677
3.319,2.019,-196.577,-8.167,-396.453,-8.674
4.317,2.112,-195.535,-8.163,-395.528,-8.668
5.32,2.206,-194.556,-8.149,-394.53,-8.66
6.336,2.279,-193.53,-8.142,-393.417,-8.662
7.325,2.383,-192.531,-8.13,-392.45,-8.655
8.339,2.454,-191.531,-8.133,-391.381,-8.659
9.33,2.558,-190.646,-8.103,-390.485,-8.648
10.348,2.634,-189.538,-8.1,-389.406,-8.65
11.347,2.716,-188.538,-8.091,-388.444,-8.642
12.344,2.793,-187.552,-8.078,-387.393,-8.644
13.331,2.877,-186.551,-8.064,-386.445,-8.638
14.327,2.964,-185.511,-8.059,-385.419,-8.635
