voltage1,corriente1,voltage2,corriente2,voltage3,corriente3
210.214,3.64,10.305,-9.451,-189.528,-21.331
211.213,3.689,11.303,-9.444,-188.517,-21.315
212.224,3.714,12.301,-9.438,-187.531,-21.307
213.226,3.751,13.288,-9.43,-186.532,-21.287
214.218,3.809,14.283,-9.423,-185.495,-21.285
215.213,3.845,15.273,-9.414,-184.543,-21.265
216.209,3.901,16.288,-9.41,-183.508,-21.262
217.235,3.901,17.26,-9.401,-182.551,-21.245
218.225,3.933,18.299,-9.396,-181.503,-21.238
219.209,3.957,19.288,-9.388,-180.52,-21.225
220.18,3.997,20.28,-9.381,-179.535,-21.218
221.185,4.006,21.285,-9.375,-178.571,-21.205
222.195,4.013,22.301,-9.369,-177.584,-21.187
223.17,4.059,23.294,-9.361,-176.551,-21.173
224.178,4.111,24.307,-9.357,-175.511,-21.182
225.226,4.098,25.277,-9.348,-174.594,-21.148
226.185,4.131,26.301,-9.342,-173.497,-21.151
227.182,4.152,27.273,-9.335,-172.515,-21.134
228.196,4.183,28.276,-9.329,-171.547,-21.126
229.198,4.2,29.273,-9.321,-170.541,-21.113
230.202,4.217,30.293,-9.315,-169.481,-21.111
231.226,4.203,31.292,-9.31,-168.519,-21.092
232.199,4.227,32.293,-9.303,-167.488,-21.094
233.201,4.23,33.266,-9.296,-166.55,-21.076
234.17,4.247,34.3,-9.289,-165.521,-21.071
235.172,4.244,35.302,-9.283,-164.571,-21.05
236.156,4.266,36.289,-9.278,-163.534,-21.047
237.179,4.282,37.294,-9.27,-162.552,-21.036
238.195,4.274,38.306,-9.265,-161.521,-21.027
239.167,4.279,39.291,-9.258,-160.522,-21.019
240.151,4.303,40.284,-9.252,-159.513,-21.019
241.193,4.274,41.266,-9.244,-158.616,-20.986
242.165,4.306,42.287,-9.238,-157.521,-20.989
243.178,4.319,43.289,-9.232,-156.53,-20.981
244.203,4.301,44.286,-9.225,-155.56,-20.973
245.179,4.29,45.271,-9.218,-154.571,-20.955
246.154,4.311,46.291,-9.212,-153.55,-20.957
247.154,4.31,47.28,-9.205,-152.607,-20.94
248.144,4.318,48.289,-9.199,-151.585,-20.935
249.182,4.306,49.269,-9.191,-150.609,-20.919
250.158,4.318,50.291,-9.187,-149.547,-20.916
251.175,4.301,51.28,-9.18,-148.546,-20.908
252.157,4.312,52.277,-9.174,-147.536,-20.909
253.176,4.313,53.269,-9.165,-146.567,-20.889
254.191,4.312,54.288,-9.161,-145.543,-20.887
255.183,4.315,55.265,-9.153,-144.531,-20.877
256.191,4.329,56.281,-9.147,-143.501,-20.882
257.277,4.301,57.266,-9.139,-142.585,-20.856
